borrower,bETHcollateral,percent,ust_loan,bLunacollateral
terra1fk2ephmetreelakjpschd8crg3ql7kjx7d0r5k,90499996.0,0.6619818347895758,172804572486,22903537.0
terra1630fz3hu9np4fwdqt42eduu69hdzv8yfd3mcdp,90000000.0,0.6630373280936193,151543759276,0.0
terra1vx084tz4xzy2y0ms3xv9glt8pgxyrqpktp5pzj,88999998.0,0.664081093670829,116178264412,631052533.0
terra1yter0kar999muencv0nalwa8mc3rxgr5e2ythg,88304233.0,0.6651166995224977,84506330731,0.0
terra1e753rnrnpwzueu2apdh6vsn9tkug7j5szuw34r,88107075.0,0.6661499931636238,175306213821,1354805126.0
terra1y245tvfsanxuqdu2mg26z4fsc4z2kqsuhg7az3,87199998.0,0.6671726488747527,126819637768,0.0
terra1jarm4x6weqms4rvglu2fn2ay6yg7wcdlcks0xu,86799993.0,0.6681906134458917,214991440995,3010821357.0
terra1et06jcpg2fkwweecq73q7qv04sxstq3nghrlhe,86443596.0,0.6692043982987298,192431566483,2001745696.0
terra14lz5q67qffp30x94fgvn05tnptcgtp8mcuqcdt,85999999.0,0.6702129807775324,172808008916,2274693713.0
terra1w5yyp0nwkl3xajxawlsdx3u8j7sfe6gmehrdkg,85999999.0,0.6712215632563351,415779052700,13152421290.0
terra1snykldskly3j0gqn7g6tjrv0s3d69puc859ycx,85601302.0,0.672225469934984,175388628338,882956184.0
terra1wxjm69rpzr0d5xhvnzwz32spdngcd48k3m8dpf,85010513.0,0.6732224480154817,142327556617,556928148.0
terra1uy20vtvv4hgxj68cvsfgjty5wjnzma9m0z7yxl,84999999.0,0.674219302790906,130713413426,910213543.0
terra1hu50m9wrwmz6lcwvdprvfpt6fwq4mpfd94u6qk,84965417.0,0.6752157519988922,141919686389,0.0
terra152j5tuhc5nrzypz0ahf4nf4ce7x04gtujq5npc,81999995.0,0.676177423617271,194083392113,2392546433.0
terra1nxdwwrpfshdtj5mp4t6kam6wygcxtw3mv3lcm3,81989911.0,0.6771389769734889,806283838175,34178677993.0
terra19e2s2whhhujxud2cwfmw0p2lkf6a4wq6uz6nj7,81529935.0,0.6780951358676177,211799409773,3331819989.0
terra1denr25fe80ra4ktwsvpgcdk6rv8hrwstq6xsp8,81099998.0,0.6790462525881392,253676981060,6876273195.0
terra1nywmytfhsmnjzp9rrclzk37em8ghvhmudf6nfs,80100139.0,0.6799856432588886,116181654873,272471397.0
terra1hf75a33f34j6wp9k64gqhdk5uy2hpsy0r88mnf,79999999.0,0.6809238595174216,302053967098,11810089368.0
terra1ql7u8v38x543et8w5467ukxszsw46czrff7waa,77988048.0,0.6818384802114151,376706591937,10193616251.0
terra1lavvsj908hvnkn3unqkytp69wx3kgh7qr6xgxt,75999999.0,0.6827297856564352,131800649751,999975.0
terra1dvx0czxugdnkah83ccw6rgg50fsrzld4mjkt8p,75999998.0,0.6836210910897276,110590107923,1210071534.0
terra1vpgkwx93d2a4sne60ct7z97gydc4ucrm404udq,75985633.0,0.6845122280545608,178653639705,6964344020.0
terra1pauenpsy32n0ccrsta959ff9c8h44g5ugr0r83,75218307.0,0.6853943660476717,80536915284,599995689.0
terra1r2nvja9wl0pcujz8kmwp3p9vrdae53ql7wklml,74787981.0,0.6862714573050986,168563561412,1620889935.0
terra1834x2gcs873m7za0s598hrmkyu59x367uds4zh,74485754.0,0.6871450041339167,89306694617,0.0
terra165eq9hsghfc88mf4k6lt8wk3k47v5tx84vl4fm,74368332.0,0.6880171738723486,320533906135,10307763424.0
terra16tjwtvc4nrqttehqmrx3nvlu3uck5mkrg4n7gz,73999999.0,0.6888850239106121,448510122809,20440759111.0
terra1mujeq5l5wx8jrpu4pvs704rn8ev9xyavpwgvgy,72570870.0,0.6897361135478745,121449452470,0.0
terra1v2y9x0xad5zlnrzgym4eu3vl82pdc7nav02wua,71022759.0,0.6905690473985321,355859664136,11657989473.0
terra1jrk08y8nnpuc0kr85gl9z6wk2vtw8v37pjglwa,70482099.0,0.6913956405490812,206302719114,3848596359.0
terra1my7zpqf75qlhxjzaxw09t68j7dcng4qu009phm,70371944.0,0.6922209418344647,114835958133,0.0
terra17sqfu2z2xhzyzcqxczcwjnyk300nh2u0fz32th,70214159.0,0.6930443926641707,202468180096,6504364423.0
terra19hn6jwh070sfr02ay9v35r6vgp4hrfsf27h075,70009999.0,0.6938654491659549,133007882105,0.0
terra1m77ayfrpn2scqpyafykvj6s722dkwzxadaedgd,69999999.0,0.6946863883907054,129747606829,0.0
terra1rxpg0mkkv96krspx6yfkxzt4y9n7dekgwu70yr,69299999.0,0.6954991182230912,85005477987,0.0
terra1jq8llq63r3jt7hjpv59vh7xc0233c33sgl7sj4,69241323.0,0.6963111599207534,125515700127,0.0
terra1cwxd88lceezjv0fy9qeld09vlzd5acw2934tqq,68932885.0,0.6971195843490411,143299466295,1000092814.0
terra1tpwup6rxggkhsyl9x5wpcdueuzu2kyywns8hgy,67999999.0,0.6979170681670351,100052953000,0.0
terra1lql8gvup09xm5g4thxyw5xglreuqtzmm00t0yj,67454533.0,0.6987081549215781,116063256478,560166820.0
terra19ff6q2h69ndj3xjxm7t5ylnns2tcf6m3lpk3h2,66394388.0,0.6994868086100232,130241103553,1128709294.0
terra143f49dk9tljjcvcw4lu73dedumx48au3pktr05,65999998.0,0.700260837009533,125518680549,829174138.0
terra1hndlsuae42ay4jm5h39j53dj92xf77v75hlmw7,65680673.0,0.7010311204601615,163538684991,2191498607.0
terra1zde8cw8v4l6g3p8q6j6zpa077ljhaa2k7f2t2j,65658698.0,0.7018011461945082,79383024157,0.0
terra12qth9auxjttuvpxazvuuu9geed5l4vm9fwn3pm,65003948.0,0.7025634932150681,108353714048,0.0
terra1vm6ngehg3cwfrhul9zmve8qr85zz27l5kcngsf,64999999.0,0.7033257939229272,112067025470,0.0
terra15gnsr3jx7c0x4uu6g3pmx6g6gtys7pmhtflsrz,64299995.0,0.7040798851915108,146723633219,2251722457.0
terra1h2ychmvt9ax0p96j6fjm5lwp0wks3j8jd6uawp,64022712.0,0.7048307245673185,189650585974,4017096534.0
terra1fduxkh58cpe6tpaszyjeeezt8ukjh32fpjv5gu,63999996.0,0.7055812975366164,77442335166,1047995891.0
terra1tewraa59r9hvs3pvkpvg3sv983e8zv3uqnnr32,63913728.0,0.7063308587803991,100000000000,2033812305.0
terra1af6pex4mt4vmnc8yger4pdd25c2wcu3f9f2m8v,63704057.0,0.707077961064887,105000029161,180843114.0
terra1yaywamuz9h9xz0qd3gepmq63f222yzn0k9x6ql,62999999.0,0.7078168063659895,118309207690,2217812705.0
terra14c9tvxup8naxjt35qc4skgj22ajhwcvdx932xy,62220508.0,0.7085465100278582,91615128454,0.0
terra1au6vcr4nq9436hn50uc24fjhvyvl29wvtddytq,62012998.0,0.7092737800739989,315604155126,12234155757.0
terra14z7awq0vcuwvztryg2gauyzh0xj0cx6vd25ey6,61000000.0,0.7099891699800727,105853911686,0.0
terra16gkrfe3z74z72v3k29c5hwxz60cw8e00qj5dkh,60419999.0,0.7106977578064595,100118838422,150769639.0
terra1929ex2cnh5lnyja93mmh3veadwfuf33d0km67n,60389779.0,0.7114059912216502,348799837076,11332900383.0
terra1mxgu924gcmtlwe55tscmp3zxj8za4cnp36kkgg,60338805.0,0.7121136268288888,59099967000,0.0
terra1dnlmkptaptknxcaqadxggjnsgaczr22mhatx4v,60200000.0,0.71281963457226,109709521808,0.0
terra1f5k9dczlx3z27w5c5830nyvqa470gupmpyef6p,60099999.0,0.7135244695335657,101257920810,2015868044.0
terra183ahl9dfafrnch24zc7ycn4zqpwxz9wqg0yd6d,60099999.0,0.7142293044948714,105818838839,0.0
terra1x8v3jq47yqytcxyeskesch9954ny0qunfdjva6,60059999.0,0.714933670348042,382396208519,12117740495.0
terra1d7wy5tpuaxw9t4y9fr0jatz0fau0wzpm34xshu,59999999.0,0.71563733253901,293102419813,10693803204.0
terra1jscgcv3rep7gq60ld4e6d9clrhx87uuzzp7jsj,59999999.0,0.7163409947299778,59169090989,0.0
terra155qdteg6usg0kexl3x23drfh39n6rn6x23h92v,59999999.0,0.7170446569209457,66988109820,0.0
terra1tnxrk837pf2997jmhsyp84wyjyg7j3z2elrzt4,59967629.0,0.7177479394861552,73337491742,0.0
terra1vuuzu0tpqtjvcnrhqventg4hgxlqjr8ejp9c9d,59499998.0,0.7184457378137062,171468239095,14128125835.0
terra1ss6zqupwd0rzqg00s4w6rxevjtg8w3xldv9jpc,59493532.0,0.7191434603099273,179082502567,4299969104.0
terra1uqd0hvu0dckrxj700msqse7sm3cqvwa37l99y9,59265438.0,0.7198385077873739,94170207489,561635904.0
terra1nwtnpvy82z2nfpgjxrvxrrg9cttnfuyv8p7avn,58085003.0,0.7205197114732833,67709490846,0.0
terra16hw950c7gznakfe5rcuj4dj8v94em9kdw9wak6,58016699.0,0.7212001141101411,214778358243,8122200196.0
terra1p5gz9uan8vctyju57qz9khhx7cc97vgxfvz8wt,57909995.0,0.7218792653541376,90287891897,1328042641.0
terra1sv9tsetsfz2zfg6j7dvkgvygkuhmymhcucplq0,57852731.0,0.7225577450229278,328388764758,12844962797.0
terra196f4pl0az6j9kwpxq5dmyzzpq28hedtvy798q5,57635090.0,0.7232336722626271,168379768805,3203960246.0
